date,max_temp,min_temp,avg_temp
2026-02-06,6.4,1.6,4.0
2026-02-07,4.1,2.4,3.25
2026-02-08,3.1,-0.7,1.2000000000000002
2026-02-09,-0.9,-4.9,-2.9000000000000004
2026-02-10,2.6,-4.8,-1.0999999999999999
2026-02-11,4.5,-1.5,1.5
2026-02-12,7.4,1.5,4.45
2026-02-13,6.1,0.3,3.1999999999999997
